file	energy	H-bond
md_410k_snap_79.com	-802.8425210290021	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O47
md_410k_snap_80.com	-800.5828902763774	N120-H122_O28,N19-H130_N115
md_410k_snap_81.com	-804.1786787202541	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_82.com	-804.121198108173	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_83.com	-803.144054379544	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_84.com	-803.899325444445	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_85.com	-803.5947488356719	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_86.com	-803.99052325346	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_87.com	-803.9031929051675	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_88.com	-804.0945487790976	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119
md_410k_snap_89.com	-804.2690373227706	N120-H122_O28,N19-H130_N115,N83-H88_N115,N83-H88_O119,O1-H123_O119
md_410k_snap_90.com	-804.2869615750745	N120-H122_O28,N19-H130_N115,N83-H88_N115,N83-H88_O119,O1-H123_O119
md_410k_snap_91.com	-805.9953086350478	N120-H122_O28,N19-H130_N115,N83-H88_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_92.com	-804.7840226628283	N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_93.com	-804.4061403518816	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_94.com	-802.8989767807509	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
md_410k_snap_95.com	-804.1913620970009	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47
